Chemical formula,Vacancy energy [eV/O atom],A1,A2,PercentA1,B1,B2,PercentB1,Radius A [ang],Radius B [ang],Volume per atom [A^3/atom],Formation energy [eV/atom],Stability [eV/atom],Magnetic moment [mu_B],Band gap [eV],a [ang],b [ang],c [ang],alpha [deg],beta [deg],gamma [deg],A-AtomicNumber,A-AtomicMass,A-NumberofNeutrons,A-NumberofProtons,A-NumberofElectrons,A-Period,A-Group,A-AtomicRadius,A-Electronegativity,A-FirstIonization,A-Density,A-MeltingPoint,A-BoilingPoint,A-NumberOfIsotopes,A-Year,A-SpecificHeat,A-NumberofShells,A-NumberofValence,B-AtomicNumber,B-AtomicMass,B-NumberofNeutrons,B-NumberofProtons,B-NumberofElectrons,B-Period,B-Group,B-AtomicRadius,B-Electronegativity,B-FirstIonization,B-Density,B-MeltingPoint,B-BoilingPoint,B-NumberOfIsotopes,B-Year,B-SpecificHeat,B-NumberofShells,B-NumberofValence
La0.75Sr0.25FeO3,3.412,La,Sr,0.75,Fe,Fe,1,1.38,1.12,19.97575,-2.6445,0.8465,0.0485,0.20475,5.07325,5.13525,5.7605,90,90,90,52.25,126.08375,74,52.25,52.25,5.75,2.75,2.65,1.0625,5.6064,5.2725,1155.4,3216.5,18.75,1831.25,0.2215,5.75,,89,55.845,138,89,89,7,3,,1.1,5.17,10.1,1323.15,3471,11,1899,0.12,7,
La0.5Sr0.5FeO3,3.344,La,Sr,0.5,Fe,Fe,1,1.4,1.12,19.3625,-2.721,0.615,0.099,0.1365,5.4595,5.5835,6.834,90,90,90,47.5,113.2625,66,47.5,47.5,5.5,2.5,2.6,1.025,5.6359,4.395,1117.65,2696,18.5,1823.5,0.248,5.5,,89,55.845,138,89,89,7,3,,1.1,5.17,10.1,1323.15,3471,11,1899,0.12,7,
La0.8Ca0.2FeO3,3.515,La,Ca,0.8,Fe,Fe,1,1.356,1.12,20.3942,-2.529,1.004,0.0152,0.2184,4.672,4.672,4.672,90,90,90,49.6,119.1396,69.6,49.6,49.6,5.6,2.8,2.6,1.08,5.68416,5.228,1176.95,3341,18,1832.8,0.2854,5.6,,89,55.845,138,89,89,7,3,,1.1,5.17,10.1,1323.15,3471,11,1899,0.12,7,
Pr0.8Ca0.2FeO3,3.53,Pr,Ca,0.8,Fe,Fe,1,1.212,1.12,20.3638,-2.409,1.0696,0.0168,0,4.6696,4.6696,4.6696,90,90,90,51.2,120.742,69.6,51.2,51.2,5.6,,2.6,1.104,5.60104,5.724,1185.75,3385.8,14.8,1869.6,0.2838,5.6,,89,55.845,138,89,89,7,3,,1.1,5.17,10.1,1323.15,3471,11,1899,0.12,7,
Ba0.5Sr0.5FeO3,2.22,Ba,Sr,0.5,Fe,Fe,1,1.525,1.12,18.8595,-2.8655,0.129,0.2,0,6.3405,6.5415,9.0895,90,90,90,47,112.4735,65.5,47,47,5.5,2,2.65,0.92,5.4533,3.115,1022.15,1912.5,21.5,1808,0.2525,5.5,2,89,55.845,138,89,89,7,3,,1.1,5.17,10.1,1323.15,3471,11,1899,0.12,7,
La0.75Sr0.25CoO3,2.29776,La,Sr,0.75,Co,Fe,1,1.38,1.12,19.97575,-2.6445,0.8465,0.0485,0.20475,5.07325,5.13525,5.7605,90,90,90,52.25,126.08375,74,52.25,52.25,5.75,2.75,2.65,1.0625,5.6064,5.2725,1155.4,3216.5,18.75,1831.25,0.2215,5.75,,89,58.9332,138,89,89,7,3,,1.1,5.17,10.1,1323.15,3471,11,1899,0.12,7,
La0.5Sr0.5CoO3,2.1904,La,Sr,0.5,Co,Fe,1,1.4,1.12,19.3625,-2.721,0.615,0.099,0.1365,5.4595,5.5835,6.834,90,90,90,47.5,113.2625,66,47.5,47.5,5.5,2.5,2.6,1.025,5.6359,4.395,1117.65,2696,18.5,1823.5,0.248,5.5,,89,58.9332,138,89,89,7,3,,1.1,5.17,10.1,1323.15,3471,11,1899,0.12,7,
Ba0.5Sr0.5CoO3,1.21,Ba,Sr,0.5,Co,Fe,1,1.525,1.12,18.8595,-2.8655,0.129,0.2,0,6.3405,6.5415,9.0895,90,90,90,47,112.4735,65.5,47,47,5.5,2,2.65,0.92,5.4533,3.115,1022.15,1912.5,21.5,1808,0.2525,5.5,2,89,58.9332,138,89,89,7,3,,1.1,5.17,10.1,1323.15,3471,11,1899,0.12,7,
La0.5Sr0.5Co0.5Fe0.5O3,2.74504,La,Sr,0.5,Co,Fe,0.5,1.4,1.12,19.3625,-2.721,0.615,0.099,0.1365,5.4595,5.5835,6.834,90,90,90,47.5,113.2625,66,47.5,47.5,5.5,2.5,2.6,1.025,5.6359,4.395,1117.65,2696,18.5,1823.5,0.248,5.5,,89,57.3891,138,89,89,7,3,,1.1,5.17,10.1,1323.15,3471,11,1899,0.12,7,
La0.75Sr0.25Co0.5Fe0.5O3,2.81664,La,Sr,0.75,Co,Fe,0.5,1.38,1.12,19.97575,-2.6445,0.8465,0.0485,0.20475,5.07325,5.13525,5.7605,90,90,90,52.25,126.08375,74,52.25,52.25,5.75,2.75,2.65,1.0625,5.6064,5.2725,1155.4,3216.5,18.75,1831.25,0.2215,5.75,,89,57.3891,138,89,89,7,3,,1.1,5.17,10.1,1323.15,3471,11,1899,0.12,7,
